【集合住宅】,,【集合住宅】,,,,
事務所ビルの天井モジュール：○○m～○○mが多い。,,事務所ビルの天井モジュール：3.0m～3.6mが多い。,システム天井のグリッドが600mm角だから。スプリンクラーの配置なども含め。あと机の配置計画（照明の下にデスクを置きたい）とかも。,,,
事務所の1人当たりの床面積：○○m2/任程度。,,事務所の1人当たりの床面積：10m2/人程度。,,,,
会議室の1人当たりの床面積：○○m2/人～○○m2/人程度。,,会議室の床面積：2.0m2/人～3.0m2/人程度。,,,,
事務所のコンセント電源容量：○○～○○VA/m2程度。,,事務所のコンセント電源容量：30～50VA/m2程度。,,,,
"事務所のトイレの数
・男子大便器：○○人に1個以上
・男子小便器：○○人に1個以上
・女子大便器：○○人に1個以上",,"事務所のトイレの数
・男子大便器：60人に1個以上
・男子小便器：30人に1個以上
・女子大便器：20人に1個以上",事務所衛生基準規則第17条による,,,
事務所の1日当たりのごみ排出量：○○kg/m2。うち紙類が○○/3を占める。,,事務所の1日当たりのごみ排出量：0.05kg/m2。うち紙類が2/3を占める。,,,,
"事務所のエレベーター計画
・ピーク時の○○分間の利用人数で計画。",,"事務所のエレベーター計画
・ピーク時の5分間の利用人数で計画。",,,,
"EVピーク時の利用率
・複数テナント貸しビル：○○%程度
・自社ビル：○○%程度",,"EVピーク時の利用率
・複数テナント貸しビル：15%程度
・自社ビル：25%程度",自社ビルだと、始業時間が同じなので、利用率が高くなる,,,
事務所ビルのエレベーター台数の概算：○○～○○人当たりに1台,,事務所ビルのエレベーター台数の概算：200～300人当たりに1台,,,,
エレベーター群のサービスフロア数：一般に○○階以下とする。バンク分けする。,,エレベーター群のサービスフロア数：一般に15階以下とする。バンク分けする。,,,,
"エレベーターホールの幅
・1バンクの対面式：○○m～○○m",,"エレベーターホールの幅
・1バンクの対面式：3.5m～4.5m",※もうちょい調べる,,,
"机の配置、配列方式
・対○○式：デスク島。所要面積が最も小さい。
・並○○式（同向式）：対向式の○○～○○倍必要。教室みたいな奴。プライバシーを確保しやすい。
・ス○○式：袖机を使い縦列を交互に配置。コミュニケーションとフライバシーの双方を必要とする業務に適する。",,"机の配置、配列方式
・対向式：デスク島。所要面積が最も小さい。
・並行式（同向式）：対向式の1.2～1.3倍必要。教室みたいな奴。プライバシーを確保しやすい。
・スタック式：袖机を使い縦列を交互に配置。コミュニケーションとフライバシーの双方を必要とする業務に適する。",,,,
防災センターの位置：○○階の出入り口付近。あるいはその直上、直下階の適切な位置。,,防災センターの位置：避難階の出入り口付近。あるいはその直上、直下階の適切な位置。,,,,
【市庁舎】,,【市庁舎】,,,,
"窓口事務部門の面積割合
・延べ面積の約○○％",,"窓口事務部門の面積割合
・延べ面積の約10％",,,,
"議会関連諸室の面積割合
・延べ面積の約○○％",,"議会関連諸室の面積割合
・延べ面積の約10％",,,,
【劇場・映画館】,,【劇場・映画館】,,,,
"劇場・映画館の客席面積
・1人当たり：○○～○○m2程度",,"劇場・映画館の客席面積
・1人当たり：0.5～0.7m2程度",,,,
劇場・映画館の客席の前後間隔：○○cm程度。,,劇場・映画館の客席の前後間隔：100cm程度。,,,,
劇場・映画館の客席の幅：○○cm程度。,,劇場・映画館の客席の幅：50cm程度。,,,,
■舞台の形式,,■舞台の形式,,,,
プ○○ステージ：プ○○アーチ（舞台と客席を区切る額縁）によって客席と舞台が明確に分離されたもの。歌舞伎劇場やオペラ劇場など。,,プロセニアムステージ：プロセニアムアーチ（舞台と客席を区切る額縁）によって客席と舞台が明確に分離されたもの。,例)歌舞伎劇場やオペラ劇場など。,,,
オ○○ステージ：プロセニアムアーチを持たず、客席が舞台を取り囲むように配置されたもの。客席と舞台の一体感を高めることができる。,,オープンステージ：プロセニアムアーチを持たず、客席が舞台を取り囲むように配置されたもの。客席と舞台の一体感を高めることができる。,例）シェイクスピア劇場グローブ座,,,
ア○○ステージ：客席と舞台を可動式とし、演目に応じて客席と舞台の関係を変化できる。プロセニアムステージにもオープンステージにもできる。アダプタブルは「順応できる」という意味。,,アダプタブルステージ：客席と舞台を可動式とし、演目に応じて客席と舞台の関係を変化できる。プロセニアムステージにもオープンステージにもできる。アダプタブルは「順応できる」という意味。,,,,
"コンサートホールの形式
・シ○○型：直方体。音響面で安定。ステージが遠い席がある。
・ア○○型：ステージを取り囲む。反響が複雑で音響調整が難しい。ステージと客席は近く一体感がある。",,"コンサートホールの形式
・シューボックス型：直方体。音響面で安定。ステージが遠い席がある。
・アリーナ型：ステージを取り囲む。反響が複雑で音響調整が難しい。ステージと客席は近く一体感がある。",,,,
"舞台の上手、下手
・上手（かみて）：客席から見て舞台の○○側。
・下手（しもて）：客席から見て舞台の○○側。",,"舞台の上手、下手
・上手（かみて）：客席から見て舞台の右側。
・下手（しもて）：客席から見て舞台の左側",漫才等は、下手イリ、上手ハケが多い。,,,
"劇場の可視限界距離
・劇場は視角度○○度（舞台中心から○○度）、映画館は視覚度○○度（中心から○○度）
・表情等が見える範囲：生○○的限度：○○m
・セリフを重視した演劇の範囲：第○○限度：○○m
・一般的な身振り手振りが見える範囲：第○○限度：○○m",,"劇場の可視限界距離
・劇場は視角度120度（舞台中心から60度）、映画館は視覚度60度（中心から30度）
・表情等が見える範囲：生理的限度：15m
・セリフを重視した演劇の範囲：第一次許容限度：22m
・一般的な身振り手振りが見える範囲：第二次許容限度：38m",,,,
【物品販売店】,,【物品販売店】,,,,
■物品販売店のポイント,,■物品販売店のポイント,,,,
お客様と店員の動線分離。接道は敷地の○○面以上が道路に接すると分離しやすい,,お客様と店員の動線分離。接道は敷地の2面以上が道路に接すると分離しやすい,,,,
手に取りやすい陳列棚の高さ：○○～○○m程度。,,手に取りやすい陳列棚の高さ：0.7～1.5m程度。,,,,
"売り場面積比率
・量販店：延べ面積の○○%程度
・百貨店：延べ面積の○○%程度
・ショッピングセンター：核店舗○○%、専門店○○%",,"売り場面積比率
・量販店：延べ面積の65%程度
・百貨店：延べ面積の55%程度
・ショッピングセンター：核店舗50%、専門店25%",百貨店の方がバックヤードが大きい,,,
"売り場内通路
・主通路幅：○○m程度
・副通路幅：○○m程度",,"売り場内通路
・主通路幅：2.7m程度
・副通路幅：1.8m程度",,,,
【飲食店】,,【飲食店】,,,,
"厨房の面積
・レストラン：全体面積の○○%程度
・喫茶店：全体面積の○○%程度",,"厨房の面積
・レストラン：全体面積の30%程度
・喫茶店：全体面積の15%程度",,,,
【ホテル】,,【ホテル】,,,,
"ホテルの客室部分割合
・シティホテル：○○％程度
・ビジネスホテル：○○％程度",,"ホテルの客室部分割合
・シティホテル：40％程度
・ビジネスホテル：70％程度",シティホテルは宴会場など客室部分以外が大きい,,,
"ホテルの基準階における客室部分の床面積の割合
・シティホテル：○○%程度
・ビジネスホテル：○○％程度",,"ホテルの基準階における客室部分の床面積の割合
・シティホテル：70%程度
・ビジネスホテル：70％程度",基準階はどちらもほぼ同じ,,,
"客室一室あたりの延床面積
・シティホテル：一室○○m2程度。",,"客室一室あたりの延床面積
・シティホテル：一室100m2程度。",,,,
"ホテルの客室1室当たりの床面積
・シングルベッドルーム：○○～○○m2（最低○○m2以上）
・ツインベッドルーム：○○～○○m2",,"ホテルの客室1室当たりの床面積
・シングルベッドルーム：10～20m2（最低9m2以上）
・ツインベッドルーム：20～40m2",最低基準は旅館業法施行令にて規定。,,,
ホテルの宴会場の床面積：1席あたり○○m2程度。,,ホテルの宴会場の床面積：1席あたり2m2程度。,,,,
"ホテルの客室とエレベーター台数
・シティホテル：○○～○○室に1台。サービス用エレベーターは○○/3程度。",,"ホテルの客室とエレベーター台数
・シティホテル：100～200室に1台。サービス用エレベーターは1/3程度。",,※ビジネスホテルなども調べる。,,
【駐車場】,,【駐車場】,,,,
"1台当たりの駐車スペース：幅○○m、長さ○○m程度
車いす用駐車スペース：幅○○m、長さ○○m程度",,"1台当たりの駐車スペース：幅3m、長さ6m程度
車いす用駐車スペース：幅3.5m、長さ6m程度",,,,
"駐車方式の種類
・自走式：1台当たり○○m2程度、必要
・機械式：方式によるが、スカイパーキングは1基○○台が限度",,"駐車方式の種類
・自走式：1台当たり50m2程度、必要
・機械式：方式によるが、スカイパーキングは1基30台が限度",,,,
■駐車場法の基準,,■駐車場法の基準,,,,
車路幅員：片側通行○○m以上、両側通行○○m以上,,車路幅員：片側通行3.5m以上、両側通行5.5m以上,（これも法律調べる。）,,,
車路回転半径：○○m以上（駐車場法施行令第8条）。,,車路回転半径：5m以上（駐車場法施行令第8条）。,,,,
梁下高さ：車路 高さ○○m以上、駐車スペース高さ○○m以上。,,梁下高さ：車路 高さ2.3m以上、駐車スペース 高さ2.1m以上,,,,
車路勾配：○○以下。（傾斜路の上下には○○以下の緩和勾配が必要）,,車路勾配：1/6以下。（傾斜路の上下には1/12以下の緩和勾配が必要）,,,,
■駐車方式の特徴,,■駐車方式の特徴,,,,
"所要面積
・直角駐車：面積が○○い
・斜め駐車：面積が○○い",,"所要面積
・直角駐車：面積が小さい
・斜め駐車：面積が大きい",,,,
"車路の幅
・直角駐車：幅が○○い
・斜め駐車：幅が○○い",,"車路の幅
・直角駐車：幅が大きい
・斜め駐車：幅が小さい",,,,
"自転車とバイクの駐車スペース
・自転車：○○x○○cm
・バイク：○○x○○cm",,"自転車とバイクの駐車スペース
・自転車：60x190cm
・バイク：90x230cm",,,,
駐車場内の柱スパン：○○～○○m。車○○台分。,,駐車場内の柱スパン：8～8.5m。車3台分。,,,,
大規模な駐車場（大型商業施設等）は、○○折入庫、○○折出庫,,大規模な駐車場（大型商業施設等）は、左折入庫、左折出庫,,,,
【建築計画】,,【建築計画】,,,,
"ソシオ○○：求心的。交流を促進する空間デザイン
ソシオ○○：遠心的。交流を妨げる空間デザイン",,"ソシオペタル：求心的。交流を促進する空間デザイン
ソシオフーガル：遠心的。交流を妨げる空間デザイン",,,,
プレファブ工法の種類：,,プレファブ工法の種類：,,,,
軸組工法,,軸組工法,,,,
枠組壁工法,,枠組壁工法,,,,
パネル工法,,パネル工法,,,,
ボックスユニット工法,,ボックスユニット工法,,,,
プレカット方式：木造住宅の継手や仕口を工場でプレカットする,,プレカット方式：木造住宅の継手や仕口を工場でプレカットする,,,,
"バ○○クリーンルーム
・無○○室
・医○○工場・食○○場などで採用
工○○クリーンルーム
・無○○室
・半○○工場や精○○工場などで採用",,"バイオロジカルクリーンルーム
・無菌室
・医薬品工場・食品工場などで採用
工業用クリーンルーム
・無塵室
・半導体工場や光学機器などの精密機械工場などで採用",,,,
【環境工学】,,【環境工学】,,,,
"日射と日照の違い
・日射：○○効果
・日照：○○効果",,"日射と日照の違い
・日射：熱効果
・日照：光効果",,,,
"日射量の種類
①直○○量：地上に直接達する日射量（大気圏で散乱・吸収されたもの除く）
②天○○量：大気圏で散乱して、地上に来た日射量
③全○○量：①+②","
","日射量の種類
①直達日射量：地上に直接達する日射量（大気圏で散乱・吸収されたもの除く）
②天空日射量：大気圏で散乱して、地上に来た日射量
③全天日射量：①+②",,,,
"壁面と水平面の1m2当たりの日射量
・○○至の○○面＞○○至の○○面＞○○至の○○面＞○○至の○○面",,"壁面と水平面の1m2当たりの日射量
・夏至の水平面＞冬至の壁面＞夏至の壁面＞冬至の水平面",斜めになるほど弱い,,,
"日射の調整方法
①水○○：夏季の南面日射を遮る効果が高い
②垂○○：西日を遮る効果が高い",,"日射の調整方法
①水平ルーバー：夏季の南面日射を遮る効果が高い
②垂直ルーバー：西日を遮る効果が高い",,,,
"可照時間：理論上日が当たる時間。
・水平面：○○至最長。
・南面：○○至最短。",,"可照時間：理論上日が当たる時間。
・水平面：夏至最長。
・南面：夏至最短。",,,,
"日照率：日○○/可○○x100。
天気や山などの影響を反映。（建物は関係なし）",,"日照率：日照時間/可照時間x100。
天気や山などの影響を反映。（建物は関係なし）",,,,
"隣棟間隔
○○度が高くなるほど日○○時間が長くなるため、間○○が広くなる。",,"隣棟間隔
緯度が高くなるほど日影時間が長くなるため、間隔が広くなる。",,,,
■日影,,■日影,,,,
"・日影時間図で「4時間以上日影となる範囲」の特徴
①建物の東西方向の幅：大きいほど、○○くなる
②建物の南北方向や高さ：影響は○○い。
③複数建物がある場合：島○○ができる場合がある。",,"・日影時間図で「4時間以上日影となる範囲」の特徴
①建物の東西方向の幅：大きいほど、大きくなる
②建物の南北方向や高さ：影響は小さい。
③複数建物がある場合：島日影ができる場合がある。",,,,
夏至に終日日影になる部分の名称：永○○。,,夏至に終日日影になる部分の名称：永久日影。,,,,
"日影規制
・中高層建築物（高さ10m超などの建築物）の、冬至の日影時間を規制。
※敷地境界線から一定距離を超える範囲＆1.5m～6.5mの水平面での日影時間。具体的には各地方自治体の条例等。",,"日影規制
・中高層建築物（高さ10m超などの建築物）の、冬至の日影時間を規制。
※敷地境界線から一定距離を超える範囲＆1.5m～6.5mの水平面での日影時間。具体的には各地方自治体の条例等。",,,,
"ビル風：
卓越風が当たる面積が大きいほど、風速も○○い。",,"ビル風：
卓越風が当たる面積が大きいほど、風速も大きい。",,,,
"ビル風：
風速自体（絶対的な風速）：周囲に建築物がない場合が○○い。
風速増加率：周囲に低層建築物がある場合の方が○○い。",,"ビル風：
風速自体（絶対的な風速）：周囲に建築物がない場合が大きい。
風速増加率：周囲に低層建築物がある場合の方が大きい。",,,,
ク○○チューブ：地中温度が一定なのを利用。地中に外気取り入れチューブ配置した、地中熱を利用した省エネ技術。,,クール/ヒートチューブ：地中温度が一定なのを利用。地中に外気取り入れチューブ配置した、地中熱を利用した省エネ技術。,,,,
■防火、防災計画,,■防火、防災計画,,,,
フ○○：一定の温度に達したときに可燃物が発火し、急激な延焼拡大すること。,,フラッシュオーバー：一定の温度に達したときに可燃物が発火し、急激な延焼拡大すること。,,,,
耐火建築物での火災燃焼は、フラッシュオーバー後は空○○量に依存する。,,耐火建築物での火災燃焼は、フラッシュオーバー後は空気流入量に依存する。,,,,
耐火建築物での煙層の厚さは、火源○○に影響される。（not火源発熱量）,,耐火建築物での煙層の厚さは、火源面積に影響される。（not火源発熱量）,,,,
"噴出する火炎の外壁から離れやすさ：
・○○窓：外壁から離れやすい。上階へ延焼しにくい。
・○○窓：外壁から離れにくい。上階へ延焼やすい。",,"噴出する火炎の外壁から離れやすさ：
・縦長窓：外壁から離れやすい。上階へ延焼しにくい。
・横長窓：外壁から離れにくい。上階へ延焼やすい。",,,,
"・木材の出火危険温度：○○度前後。
・木材の発火危険温度：○○度前後。",,"・木材の出火危険温度：260度前後。
・木材の発火危険温度：450度前後。",,,,
"・数分で人が死ぬ、一酸化炭素濃度：○○%。
・2時間で人が死ぬ、一酸化炭素濃度：○○%",,"・数分で人が死ぬ、一酸化炭素濃度：1%。
・2時間で人が死ぬ、一酸化炭素濃度：0.16%",,,,
火災荷重（等価可燃物量）：可燃物の重量を○○換算したもの。単位kg/m2。,,火災荷重（等価可燃物量）：可燃物の重量を木材換算したもの。単位kg/m2。,,,,
■避難計画と防災計画のポイント,,■避難計画と防災計画のポイント,,,,
避難経路上の扉は避難方向に開くことが原則,,避難経路上の扉は避難方向に開くことが原則,,,,
避難階では、上下階からの階段は連続させない,,避難階では、上下階からの階段は連続させない,,,,
エレベーター、エスカレーターは避難路としては使わない,,エレベーター、エスカレーターは避難路としては使わない,,,,
避難階段とエレベーターホールは区画する,,避難階段とエレベーターホールは区画する,,,,
群集歩行速度：○○m/秒。（群集密度○○人/m2、同一方向の時）,,群集歩行速度：1m/秒。（群集密度1.5人/m2、同一方向の時）,,,,
扉は原則として○○開き（急に扉が開くと、前を通過する人にぶつかるため）,,扉は原則として内開き（急に扉が開くと、前を通過する人にぶつかるため）,,,,
"下記の3点は、例外的に外開き扉とする
①雨仕舞：雨仕舞を考慮して、玄関扉は外開き。
②避難：劇場などの客席の扉は避難方向に合わせて外開き。
③高齢者・患者用の便所：高齢者や患者が使用する便所ブースは外開き。内開きにすると、ブース内で倒れた場合に体が邪魔して扉が開けられなくなる",,"下記の3点は、例外的に外開き扉とする
①雨仕舞：雨仕舞を考慮して、玄関扉は外開き。
②避難：劇場などの客席の扉は避難方向に合わせて外開き。
③高齢者・患者用の便所：高齢者や患者が使用する便所ブースは外開き。内開きにすると、ブース内で倒れた場合に体が邪魔して扉が開けられなくなる",,,,
■建築士の職責、業務,,■建築士の職責、業務,,,,
"・設計フェーズについて
基本設計：「○○」に設計内容を伝えるためのもの
実施設計：「○○」に設計内容を伝えるためのもの",,"・設計フェーズについて
基本設計：「建築主」に設計内容を伝えるためのもの
実施設計：「施工者」に設計内容を伝えるためのもの",,,,
建築事務所の開設者は、専任の建築士（管理建築士）を置かなければならない,,建築事務所の開設者は、専任の建築士（管理建築士）を置かなければならない,,,,
"管理建築士の要件
・建築士事務所で○○年間の○○としての業務。
・管理建築士講習の課程を修了",,"管理建築士の要件
・建築士事務所で3年間の建築士（一級、二級、木造）としての業務。
・管理建築士講習の課程を修了",管理建築士に定期講習はありません。,,,
"免許の交付元
一級建築士：○○
二級建築士、木造建築士：○○",,"免許の交付元
一級建築士：国土交通大臣
二級建築士、木造建築士：都道府県知事",,,,
【寸法設計】,,【寸法設計】,,,,
■寸法の用語,,■寸法の用語,,,,
"・モデュール：建築の設計において基準として用いる単位寸法。
1尺（一般に303㎜）など。
JISにおける建築のベーシックモデュールは100㎜。（JIS A 0001及びJIS A 0004）",,"・モデュール：建築の設計において基準として用いる単位寸法。
1尺（一般に303㎜）など。
JISにおける建築のベーシックモデュールは100㎜。（JIS A 0001及びJIS A 0004）",,,,
"・モデュロール：
コルビュジエが黄金比と人体寸法をもとに考案し、個人的に設計に使っていた寸法体系。モデュールの一種ではあるが、JISとは関係ない。",,"・モデュロール：
コルビュジエが黄金比と人体寸法をもとに考案し、個人的に設計に使っていた寸法体系。モデュールの一種ではあるが、JISとは関係ない。",,,,
"黄金比：　1：○○（トランプやクレジットカード）
白銀比：　1：○○（紙のA4サイズ等はこれ）",,"黄金比：　1：1.618（トランプやクレジットカード）
白銀比：　1：1.414（紙のA4サイズ等はこれ）",,,,
"江戸間
・○○グリッド（柱心を基準寸法の整数倍とする）
・柱間隔は、基準寸法の整数倍とする
・畳の寸法が○○",,"江戸間
・シングルグリッド（柱心を基準寸法の整数倍とする）
・柱間隔は、基準寸法の整数倍とする
・畳の寸法がバラバラ（柱の大きさによる）",,,,
"京間
・○○グリッド（柱内法寸法を基準寸法とする）
・柱間隔は、柱の断面寸法に関係した端数を生じる
・畳の寸法が○○。",,"京間
・ダブルグリッド（柱内法寸法を基準寸法とする）
・柱間隔は、柱の断面寸法に関係した端数を生じる
・畳の寸法が統一。",,,,
■階段・トイレまわり,,■階段・トイレまわり,,,,
踏面寸法には蹴込寸法は含まない,,踏面寸法には蹴込寸法は含まない,,,,
回り階段（螺旋階段）の踏面幅は端部から：○○cmの位置,,回り階段（螺旋階段）の踏面幅は端部から：30cmの位置,,,,
階段に代わる傾斜路の勾配：○○以下,,階段に代わる傾斜路の勾配：1/8以下,,,,
"手すりの高さ
・階段の手すりの高さ：段の先端から○○cm程度（昇降補助）
・バルコニーの手すりの高さ：床から○○cm以上 （転落防止）",,"手すりの高さ
・階段の手すりの高さ：段の先端から85cm程度（昇降補助）
・バルコニーの手すりの高さ：床から110cm以上 （転落防止）",※体の重心である「へそ」が床上100cm程度なので、手すりをそれよりも高い110cm以上とすれば転落防止に有効です。,,,
"スロープの寸法設計
・屋内スロープの勾配・・・1/○○以下
・屋外スロープの勾配・・・1/○○以下
・踊場・・・高さ○○cmごと、幅○○cm以上",,"スロープの寸法設計
・屋内スロープの勾配・・・1/12以下
・屋外スロープの勾配・・・1/15以下
・踊場・・・高さ75cmごと、幅150cm以上",,,,
"流し台、洗面台の高さ
健常者用
・台所の流し台の高さ：○○cm程度
・洗面台の高さ：○○cm程度
車いす使用者用
・台所の流し台の高さ：○○cm程度
・洗面台の高さ：○○cm程度",,"
流し台、洗面台の高さ
健常者用
・台所の流し台の高さ：85cm程度
・洗面台の高さ：75cm程度
車いす使用者用
・台所の流し台の高さ：75cm程度
・洗面台の高さ：75cm程度",,,,
壁掛け型小便器の間隔：芯々で○○mm程度。,,壁掛け型小便器の間隔：芯々で800mm程度。,,,,
洋式トイレブースの大きさ：幅○○cm、奥行○○cm程度。,,洋式トイレブースの大きさ：幅100cm、奥行140cm程度。,,,,
"人の目線の高さ
・立位の人間の目線の高さは○○cm程度
・座位の人間の目線の高さは○○cm程度(椅子に座ると上半身は40cm程度下がる)",,"人の目線の高さ
・立位の人間の目線の高さは155cm程度
・座位の人間の目線の高さは115cm程度(椅子に座ると上半身は40cm程度下がる)",,,,
"パーティションの高さ
・座位で見通しがきく：○○cm
・座位で見通しがきく：○○cm",,"パーティションの高さ
・座位で見通しがきく：110cm
・座位で見通しがきく：120cm",,,,
"・カウンターの高さ
①立位で使用するカウンター　　 ○○cm程度
②車いす使用者用　　用途に関わらず　○○cm程度（机や食卓の高さ）
③図書館の貸出用カウンター　　　　　○○cm程度
④スーパーマーケットのレジカウンター及び包装台　○○cm程度",,"・カウンターの高さ
①立位で使用するカウンター　　 100cm程度
②車いす使用者用　　用途に関わらず　70cm程度（机や食卓の高さ）
③図書館の貸出用カウンター　　　　　70cm程度
④スーパーマーケットのレジカウンター及び包装台　70cm程度",,,,
"案内標識板の高さ
・板の中心を○○cmにすると、立位と座位（車いすの人）の中間になるので、ちょうどいい。",,"案内標識板の高さ
・板の中心を135cmにすると、立位と座位（車いすの人）の中間になるので、ちょうどいい。",,,,
■所要床面積,,■所要床面積,,,,
※書く！,,※書く！,,,,
【高齢者・身体障害者対応】,,【高齢者・身体障害者対応】,"義務基準で書くのが良さそう。
誘導基準とごっちゃになっているものは整理して書くかなぁ。",,,
全般：段差をなくす,,全般：段差をなくす,,,,
廊下：段差なくす、壁の凸凹を避ける,,廊下：段差なくす、壁の凸凹を避ける,,,,
階段：手すりを設ける。段鼻が大きいとつまづきやすい。,,階段：手すりを設ける。段鼻が大きいとつまづきやすい。,,,,
洗面器：下部スペースに板をつけない。鏡は高さ100cm程度にして立位でも車椅子でも使えるようにする。傾斜鏡は使いづらいので避ける。,,洗面器：下部スペースに板をつけない。鏡は高さ100cm程度にして立位でも車椅子でも使えるようにする。傾斜鏡は使いづらいので避ける。,,,,
・車椅子の回転に必要なスペース：直径○○cm以上。,,・車椅子の回転に必要なスペース：直径150cm以上。,,,,
・車椅子が超えられる段差：○○cm以下。,,・車椅子が超えられる段差：2cm以下。,,,,
・車いすのトイレブース：間口○○cm以上、奥行○○cm以上。,,・車いすのトイレブース：間口140cm以上、奥行190cm以上。,,,,
"大便器の高さ
・通常の大便器の高さ：○○cm程度
・車いす使用者用の大便器の高さ：○○cm程度",,"大便器の高さ
・通常の大便器の高さ：42cm程度
・車いす使用者用の大便器の高さ：45cm程度",,"高座面が使いづらい人もいるのね。
だけど、高座面じゃないと車いすに戻れない人もいる。
つまりどちらも必要。
https://www.sanitary-net.com/trend/study/study02-6.html",,
■視覚障害者への対応,,■視覚障害者への対応,,,,
"点字ブロックの種類
・線状ブロック：移○○を示す（通路壁面から○○m以上離して敷設）
・点状ブロック：注○○を示す（障害物等の手前○○cm程度 ）",,"点字ブロックの種類
・線状ブロック：移動方向を示す（通路壁面から1m以上離して敷設）
・点状ブロック：注意喚起を示す（障害物等の手前30cm程度 ）",,,,
点字ブロックの色：原則○○色（明度差○○以上、または輝度比○○以上）,,点字ブロックの色：原則黄色（明度差5以上、または輝度比2.5以上）,,,,
側壁突出物（○○cm以上）：危険なので原則しない、もし設ける場合は10cm以下とする。,,側壁突出物（65cm以上）：危険なので原則しない、もし設ける場合は10cm以下とする。,,,,
踏面色と蹴上面色：明○○差を大きくする。,,踏面色と蹴上面色：明度差を大きくする。,,,,
白内障は視界が黄変化するため、白地に○○色は見づらい。白地に赤色の方が見やすい。,,白内障は視界が黄変化するため、白地に黄色は見づらい。白地に赤色の方が見やすい。,,,,
■バリアフリー法による基準,,■バリアフリー法による基準,,,,
"バリアフリー法の対象建築物
・劇○○、銀○○、ホ○○、デ○○等：誰もが利用する建築物
・老○○、福○○等：高齢者や障害者が利用する建築物
・事○○、学○○、マ○○等：多くの人が利用する建築物",,"バリアフリー法の対象建築物
・劇場、銀行、ホテル、デパート等：誰もが利用する建築物
・老人ホーム、福祉施設等：高齢者や障害者が利用する建築物
・事務所、学校、マンション等：多くの人が利用する建築物",,,,
"バリアフリー法の義務付け対象
○○m2以上の新築、増築、改築をする場合（公衆便所は○○m2以上）
※地方公共団体の条例による面積引き下げ等は可能",,"バリアフリー法の義務付け対象
2000m2以上の新築、増築、改築をする場合（公衆便所は50m2以上）
※地方公共団体の条例による面積引き下げ等は可能",,,,
■バリアフリー法による各種基準,,■バリアフリー法による各種基準,,,,
出入口：○○cm以上。（義務基準）,,出入口：80cm以上。（義務基準）,,,,
廊下幅：○○cm以上。（義務基準）,,廊下幅：120cm以上。（義務基準）,,,,
"傾斜路（義務基準）
手すり：○○側
スロープ幅：○○cm以上
スロープ勾配：1/○○以下",,"傾斜路（義務基準）
手すり：片側
スロープ幅：120cm以上
スロープ勾配：1/12以下",,,,
アプローチ通路幅：○○cm以上（義務基準）,,アプローチ通路幅：120cm以上（義務基準）,,,,
"駐車場（義務基準）
車いす使用者用：○○つ以上
車いす使用者用の幅：○○m以上",,"駐車場（義務基準）
車いす使用者用：1つ以上
車いす使用者用の幅：3.5m以上",,,,
"エレベーター（義務基準）
エレベーターサイズ：出入口有効幅○○cm以上、かご幅○○cm以上、かご奥行き○○cm以上
乗降ロビー：○○cm角以上",,"エレベーター（義務基準）
エレベーターサイズ：出入口有効幅80cm以上、かご幅140cm以上、かご奥行き135cm以上
乗降ロビー：150cm角以上",,,,
"トイレ（義務基準）
車いす使用者用：原則、各階○○個以上（階の床面積や、建物用途で微妙に異なる）
",,"トイレ（義務基準）
車いす使用者用：原則、各階1個以上（階の床面積や、建物用途で微妙に異なる）
",,,,
【窓】,,【窓】,,,,
■窓の種類,,■窓の種類,,,,
"引違い窓：気○○性と雨○○に難あり。○○戸・○○戸が取付可能。○○部清掃可能。
",,"引違い窓：気密性と雨仕舞に難あり。網戸・雨戸が取付可能。外部清掃可能。
",,,,
開き窓：水○○性、気○○性、遮○○性が高い。が、ガラス外面の清掃、降雨中の換気に難あり。風のあおりに弱い。,,開き窓：水密性、気密性、遮音性が高い。が、ガラス外面の清掃、降雨中の換気に難あり。風のあおりに弱い。,,,,
上げ下げ窓：通○○に有効。ガラス外面の清掃に難あり。網戸・雨戸取付可能。,,上げ下げ窓：通風に有効。ガラス外面の清掃に難あり。網戸・雨戸取付可能。,,,,
滑り出し窓（縦軸、横軸）：回○○軸がスライドする。水○○性等もよい。換気、通風に有効。ガラス外面の清掃に難あり。,,滑り出し窓（縦軸、横軸）：回転軸がスライドする。水密性等もよい。換気、通風に有効。ガラス外面の清掃に難あり。,,,,
突き出し窓：上辺が回転軸。下を突出す。排煙窓として多用。,,突き出し窓：上辺が回転軸。下を突出す。排煙窓として多用。,,,,
外倒し窓・内倒し窓：底辺が回転軸。上が倒れる。,,外倒し窓・内倒し窓：底辺が回転軸。上が倒れる。,,,,
回転窓：中心が回○○軸（縦軸、横軸どちらもある）。排煙窓として使用可能。,,回転窓：中心が回転軸（縦軸、横軸どちらもある）。排煙窓として使用可能。,,,,
ドレーキップ：内○○と内○○を切り換えられる。,,ドレーキップ：内倒しと内開きを切り換えられる。,,,,
ルーバー窓：プ○○を保ちつつ換気可能。気○○性に難あり。,,ルーバー窓：プライバシーを保ちつつ換気可能。気密性に難あり。,,,,
はめごろし窓、FIX窓：採○○が主目的。気○○性・水○○性が高い。,,はめごろし窓：採光が主目的。気密性・水密性が高い。,,,,
■窓ガラスの種類,,■窓ガラスの種類,,,,
