【001請負契約】,,【001請負契約】,
"・道路に関連する手続き
④特殊車両通行許可申請書：
時期：随時。
提出者：特○○させる者。
提出先：道○○者。",,"・道路に関連する手続き
④特殊車両通行許可申請書：
時期：随時。
提出者：特殊車両を通行させる者。
提出先：道路管理者。",
"・その他
浄化槽設置届出書
　・保健所を置く市　→　市長（※町村には保健所を置く権限はない）
　・それ以外　→　都道府県知事
消防用設備等設置届　――――　消防署長
PCB（ポリ塩化ビフェニル）の処分、特定粉じん（アスベスト）排出等作業実施届出書の提出を行うのは、解体工事の施工者ではなく、所有者・発注者（所有者≒発注者）です。",,"・その他
浄化槽設置届出書
　・保健所を置く市　→　市長（※町村には保健所を置く権限はない）
　・それ以外　→　都道府県知事
消防用設備等設置届　――――　消防署長
PCB（ポリ塩化ビフェニル）の処分、特定粉じん（アスベスト）排出等作業実施届出書の提出を行うのは、解体工事の施工者ではなく、所有者・発注者（所有者≒発注者）です。",
■工事記録,,■工事記録,
"・工事記録の対象
監理者の指示事項、協議事項を記録する。
設計図書の内容に疑義が生じた場合、監理者と協議事項を記録する。※結果として、設計図書の訂正、変更に至らなくても記録する。
試験を行った場合、直ちに記録する。
左記は記録・写真等を整理する。隠ぺい部、一工程の施工完了、監理者から証明を求められた場合。（大抵は標準仕様書、約款等に記載ある）
近隣建物へ影響がある恐れがある工事では、関係者立会いを求め、写真・測量等で現状を記録する。
監理者の立会いの上施工するものと設計図書で指定された工事において、監理者都合や指示で立会いができない場合は、工事写真等で記録し、監理者に提出する。",,"・工事記録の対象
監理者の指示事項、協議事項を記録する。
設計図書の内容に疑義が生じた場合、監理者と協議事項を記録する。※結果として、設計図書の訂正、変更に至らなくても記録する。
試験を行った場合、直ちに記録する。
左記は記録・写真等を整理する。隠ぺい部、一工程の施工完了、監理者から証明を求められた場合。（大抵は標準仕様書、約款等に記載ある）
近隣建物へ影響がある恐れがある工事では、関係者立会いを求め、写真・測量等で現状を記録する。
監理者の立会いの上施工するものと設計図書で指定された工事において、監理者都合や指示で立会いができない場合は、工事写真等で記録し、監理者に提出する。",
"・その他の記録に関わる注意点
営業に関する以下の図書を引き渡し時から○○年間保管しなければならない。（建設業法）
①完○○図
②発○○記録
③施○○図",,"・その他の記録に関わる注意点
営業に関する以下の図書を引き渡し時から10年間保管しなければならない。（建設業法）
①完成図
②発注者との打合せ記録
③施工体系図",
"材料、部材、部品の受入れ時には、設計図書に定められた条件に適合することを書面などの記録により確認しなければならない。証明がないものは工事現場に搬入できない。
過去の不具合事例を調べ、問題が残りそうな施工や材料は集中的に記録を残す。
工事写真の有効画素数は、黒板文字、撮影対象が確認できること。（100万～300万画素程度）",,"材料、部材、部品の受入れ時には、設計図書に定められた条件に適合することを書面などの記録により確認しなければならない。証明がないものは工事現場に搬入できない。
過去の不具合事例を調べ、問題が残りそうな施工や材料は集中的に記録を残す。
工事写真の有効画素数は、黒板文字、撮影対象が確認できること。（100万～300万画素程度）",
■図面管理、図面工程,,■図面管理、図面工程（※これは適当に書いてる。裏どり必要。）,
"・施工図の作成順番
総合図
平面詳細図
躯体図
製作図
みたいな流れ...。だと思う。
（※これは適当に書いてる。裏どり必要。）",,"・施工図の作成順番
総合図
平面詳細図
躯体図
製作図
みたいな流れ...。だと思う。",
■工程管理,,■工程管理,
"・工程計画の進め方：
手○○計画→日○○計画の順序で進める。",,"・工程計画の進め方：
手順計画→日程計画の順序で進める。",
"・工程計画の考え方の種類
積○○方式：複雑で実績や経験の少ない工事・工種で用いられる
割○○方式：実績や経験が多い工事・工種で用いられる
工区分割は負荷が特定の専門工事会社に集中せず、できるだけ作業数量がほぼ均等になるように調整する。",,"・工程計画の考え方の種類
積上げ方式：複雑で実績や経験の少ない工事・工種で用いられる
割付け方式：実績や経験が多い工事・工種で用いられる
工区分割は負荷が特定の専門工事会社に集中せず、できるだけ作業数量がほぼ均等になるように調整する。",
"・工程表の種類
基○○工程表
部○○工程表
職○○工程表",,"・工程表の種類
基本工程表
部分工程表
職種別工程表",
"・マイルストーンの例
掘○○開始日、
地○○完了日、
鉄○○開始日、
最○○階コンクリート打設日、
屋○○防水完了日、
外○○解体日、等がマイルストーンになる。",,"・マイルストーンの例
掘削開始日、
地下躯体完了日、
鉄骨建て方開始日、
最上階コンクリート打設日、
屋上防水完了日、
外部足場解体日、等がマイルストーンになる。",
"・工程表に示す事項
①気候、風土、慣習などの影響
②施○○計画書、製○○図、施○○図の作成時期とその承諾時期
③主要材料などの準○○期間、現場への搬○○時期
④試○○の時期、期間
⑤検○○、施○○会いを受ける時期（監理者、特定行政庁等）
⑥電気設備、機械設備、その他の工事の工程
⑦仮○○物の設置期間",,"・工程表に示す事項
①気候、風土、慣習などの影響
②施工計画書、製作図、施工図の作成時期とその承諾時期
③主要材料などの準備製作期間、現場への搬入時期
④試験の時期、期間
⑤検査、施工の立会いを受ける時期（監理者、特定行政庁等）
⑥電気設備、機械設備、その他の工事の工程
⑦仮設物の設置期間",
"・工程計画上のポイント
仕○○工事は躯○○工事よりも余裕を多く見込む
使用可能な前面道路の種別、幅員、交通規制などを調査して、使用重機や搬入車両の能力、等を考慮して工程計画を立てる
作業者や工事用機械ができるだけ連続して作業を実施できるよう、手順を定める。",,"・工程計画上のポイント
仕上工事は躯体工事よりも余裕を多く見込む
使用可能な前面道路の種別、幅員、交通規制などを調査して、使用重機や搬入車両の能力、等を考慮して工程計画を立てる
作業者や工事用機械ができるだけ連続して作業を実施できるよう、手順を定める。",
"・工程とコスト
最○○工期：直○○費と間○○費の和である総建設費が最小になる工期
間○○費：管○○費、共○○費、減○○費、金利などの費用
直○○費：労○○費、材○○費、仮○○費、機械運転費用等の費用",,"・工程とコスト
最適工期：直接費と間接費の和である総建設費が最小になる工期
間接費：管理費、共通仮設費、減価償却費、金利などの費用
直接費：労務費、材料費、仮設備費、機械運転費用等の費用",
"・施工速度と間接費
施工速度を速めると、間○○費は減少",,"・施工速度と間接費
施工速度を速めると、間接費は減少",
"・施工速度と直接費
作業速度を速めると、直○○費は増加
直接費が最○○となる工期をノ○○タイム（標準時間）、費用をノ○○コスト（標準費用）という。
直接費を増加しても、ある限度以上は短縮できない時間を、ク○○タイム（特急時間）、費用をク○○コストという。",,"・施工速度と直接費
作業速度を速めると、直接費は増加
直接費が最小となる工期をノーマルタイム（標準時間）、費用をノーマルコスト（標準費用）という。
直接費を増加しても、ある限度以上は短縮できない時間を、クラッシュタイム（特急時間）、費用をクラッシュコストという。",
"・工程速度と総工費の関係
工期が最適工期より、短○○しても、延○○しても、コストは増加する。",,"・工程速度と総工費の関係
工期が最適工期より、短縮しても、延長しても、コストは増加する。",
"・工程表の種類
ガ○○チャート
S○○チャート
バ○○チャート
ネ○○工程表
タ○○工程表",,"・工程表の種類
ガントチャート
Sチャート
バーチャート
ネットワーク工程表
タクト工程表",
"・ネットワーク工程表のポイント
トータルフロート：
※書くかぁー。腰を上げるかぁー。",,"・ネットワーク工程表のポイント
トータルフロート：
※書くかぁー。腰を上げるかぁー。",
"・工程管理
山○○：作業を集計
山○○：ピークカットするのみ。一般に山崩しには工期の延○○が必要。
山○○：ピークカットして、谷も埋める。資源使用の均等化。工期の延び小さい。工区割りや作業手順合理化等工夫が必要。",,"・工程管理
山積み：作業を集計
山崩し：ピークカットするのみ。一般に山崩しには工期の延長が必要。
山均し：ピークカットして、谷も埋める。資源使用の均等化。工期の延び小さい。工区割りや作業手順合理化等工夫が必要。",
"・クリティカルパス作業を工夫して短縮
プレキャスト化
先組み工法
水平積み上げ方法
逆打ち工法
等々",,"・クリティカルパス作業を工夫して短縮
プレキャスト化
先組み工法
水平積み上げ方法
逆打ち工法
等々",
・各種工事の歩掛り,,・各種工事の歩掛り,
"鉄骨建て方：
　トラッククレーン：○○～○○ピース
　タワークレーン：○○～○○ピース",,"鉄骨建て方：
　トラッククレーン：30～35ピース
　タワークレーン：40～45ピース",
"タワークレーンの鉄骨建て方占有率（高層建物）
　補助クレーンを用いる場合：○○～○○程度
　補助クレーンを用いる場合：○○～○○程度
一般的建物の建て方用機械の鉄骨建て方占有率：○○～○○程度",,"タワークレーンの鉄骨建て方占有率（高層建物）
　補助クレーンを用いる場合：0.5-0.6程度
　補助クレーンを用いる場合：0.4-0.5程度
一般的建物の建て方用機械の鉄骨建て方占有率：0.6-0.7程度",
"現場溶接における溶接工の平均能率：
ボックス柱○○本、梁○○箇所",,"現場溶接における溶接工の平均能率：
ボックス柱2本、梁5箇所",
"ガスシールドアーク溶接の作業能率
　隅肉溶接脚長6mm換算で○○～○○m",,"ガスシールドアーク溶接の作業能率
　隅肉溶接脚長6mm換算で60-80m",
トルシア形高力ボルトの締付け本数：○○本,,トルシア形高力ボルトの締付け本数：250本,
タワークレーンの1回のクライミングに要する日数：○○日程度,,タワークレーンの1回のクライミングに要する日数：1.5日程度,
"床の鉄筋組立て
　ダブル配筋：○○t～○○t",,"床の鉄筋組立て
　ダブル配筋：0.4t-0.8t",
"コンクリートの現場内運搬の作業能率
　コンクリートポンプ車1台：○○～○○m3/hが目安",,"コンクリートの現場内運搬の作業能率
　コンクリートポンプ車1台：20-30m3/hが目安",
■■品質管理,,■■品質管理,
"・品質管理の基本的な考え方：
顧客の要求品質を達成するために、そのレベルに見合った管理を行うことが重要。
必要以上の緻密な管理は望ましくない。
品質の作りこみは、上流のプロセスにて行う方が、効果的で効率的。
検査のみでは限界で、プロセスの最適化を図ることが優れた品質管理
計画して、その通り行われているかを検査する。",,"・品質管理の基本的な考え方：
顧客の要求品質を達成するために、そのレベルに見合った管理を行うことが重要。
必要以上の緻密な管理は望ましくない。
品質の作りこみは、上流のプロセスにて行う方が、効果的で効率的。
検査のみでは限界で、プロセスの最適化を図ることが優れた品質管理
計画して、その通り行われているかを検査する。",
"・品質の7つ道具
①パ○○図
②特○○図（フィッシュボーン）
③ヒ○○グラム
④管○○図
⑤チ○○シート
⑥散○○図
⑦層○○別
⑧系○○図",,"・品質の7つ道具
①パレート図
②特性要因図（フィッシュボーン）
③ヒストグラム
④管理図
⑤チェックシート
⑥散布図
⑦層別
⑧系統図",
【006敷地・地盤調査】,,【006敷地・地盤調査】,
"■着工前の準備調査
縄○○り：ビニル紐などで建物位置を地面に表す
ベ○○マーク：建築物の高さと位置の基準
ベ○○マークの必要箇所数：○○箇所以上（相互に確認できるように）",,"■着工前の準備調査
縄張り：ビニル紐などで建物位置を地面に表す
ベンチマーク：建築物の高さと位置の基準
ベンチマークの必要箇所数：2箇所以上（相互に確認できるように）",
"■地盤調査の参考になる資料。浜松市の資料。
https://www.city.hamamatsu.shizuoka.jp/documents/9351/03_z_tisitu_r5.pdf",,"■地盤調査の参考になる資料。浜松市の資料。
https://www.city.hamamatsu.shizuoka.jp/documents/9351/03_z_tisitu_r5.pdf",
■地盤調査,,■地盤調査,
"・地盤調査の目的：
地○○の構成、
地○○位、
地○○力のデータ調査",,"・地盤調査の目的：
地層の構成、
地下水位、
地耐力のデータ調査",
・サンプリングの種類,,・サンプリングの種類,
"乱した土：
　採取方法：SPTサンプラー（標準貫入試験）等。
　採取した土で行う試験：含水比試験、粒度試験、液性限界試験、塑性限界試験",,"乱した土：
　採取方法：SPTサンプラー（標準貫入試験）等。
　採取した土で行う試験：含水比試験、粒度試験、液性限界試験、塑性限界試験",
"乱さない土：
　採取方法：シンウォール、デニソン、トリプル等（建築では普通はやらないがちでレア？）
　採取した土で行う試験：一軸圧縮試験、三軸圧縮試験、圧密試験",,"乱さない土：
　採取方法：シンウォール、デニソン、トリプル等（建築では普通はやらないがちでレア？）
　採取した土で行う試験：一軸圧縮試験、三軸圧縮試験、圧密試験",
・地盤調査の分類,,・地盤調査の分類,
"①原位置試験
　1.サ○○ディング
　　標○○試験、ベ○○試験、機械式○○貫入試験、ス○○貫入試験
　2.平○○試験
　3.孔○○載荷試験
　4.常○○測定、弾○○検層、電○○探査
　5.地○○測定、現○○試験、揚○○試験",,"①原位置試験
　1.サウンディング
　　標準貫入試験、ベーン試験、機械式コーン貫入試験、スクリューウェイト貫入試験
　2.平板載荷試験
　3.孔内水平載荷試験
　4.常時微動測定、弾性波速度検層、電気探査
　5.地下水位測定、現場透水試験、揚水試験",
"②土質試験（試験室で試験）
　1.粒○○試験
　2.圧○○試験
　3.一○○試験、三○○試験",,"②土質試験（試験室で試験）
　1.粒度試験
　2.圧密試験
　3.一軸圧縮試験、三軸圧縮試験",
"・標○○貫入試験（スタンダード ペネトレーション テスト=SPT）
調査内容：深さ○○m毎に、SPTサンプラーの○○cm打込○○数を試験。SPTサンプラーで土を採取。（乱した土）
調査結果：ハンマー打撃○○数（N値）、土○○構成。",,"・標準貫入試験（スタンダード ペネトレーション テスト=SPT）
調査内容：深さ1m毎に、SPTサンプラーの30cm打込回数を試験。SPTサンプラーで土を採取。（乱した土）
調査結果：ハンマー打撃回数（N値）、土層構成。",
"・機械式コーン貫入試験
調査内容：貫入先端（コーン）を静的に貫入（not打込み）して、抵○○値を測る。土は採取できない。
調査結果：抵抗値から土の硬軟。抵抗値から土○○構造を推定。",,"・機械式コーン貫入試験
調査内容：貫入先端（コーン）を静的に貫入（not打込み）して、抵抗値を測る。土は採取できない。
調査結果：抵抗値から土の硬軟。抵抗値から土層構造を推定。",
"・ス○○貫入試験（スウェーデン式サウンディング試験）
調査内容：先端のスクリューポイントを静的に回転・貫入（not打込み）して、抵○○値を測る。土は採取できない。
調査結果：抵抗値から土の硬軟。抵抗値から土○○構造を推定。",,"・スクリューウェイト貫入試験（スウェーデン式サウンディング試験）
調査内容：先端のスクリューポイントを静的に回転・貫入（not打込み）して、抵抗値を測る。土は採取できない。
調査結果：抵抗値から土の硬軟。抵抗値から土層構造を推定。",
"・ベーン試験
調査内容：十字型羽根のベーンを回転させた時のト○○値。
調査結果：円筒すべり面上のせ○○強さ。",,"・ベーン試験
調査内容：十字型羽根のベーンを回転させた時のトルク値。
調査結果：円筒すべり面上のせん断強さ。",
"・平板載荷試験
調査内容：
地盤に載荷板（直径○○mm、厚○○mmの鋼板）を設置。
地盤面は載荷板径の3倍以上を水平整地（半径900mm以上)して、垂直荷重かけ、支持力を調べる。

調査タイミング：根○○

調査結果：
地盤の変形特性。地盤の支持力特性。
確認できる深さ：載荷板直径の○○倍=60cm。
",,"・平板載荷試験
調査内容：
地盤に載荷板（直径300mm、厚25mmの鋼板）を設置。
地盤面は載荷板径の3倍以上を水平整地（半径900mm以上)して、垂直荷重かけ、支持力を調べる。

調査タイミング：根切工事後

調査結果：
地盤の変形特性。地盤の支持力特性。
確認できる深さ：載荷板直径の2倍=60cm。",
"・孔内水平載荷試験
調査内容：ボーリング孔内に円筒状のゴ○○を膨らませて、水○○抵抗、地○○強度を調査",,"・孔内水平載荷試験
調査内容：ボーリング孔内に円筒状のゴムチューブを膨らませて、水平抵抗、地盤強度を調査",
"・常時微動測定
調査内容：常○○動（車両の振動、木々の揺れ、海の波等）の微動を調査。
調査結果：振○○特性（卓越周期、増幅特性。）を求める。",,"・常時微動測定
調査内容：常時微動（車両の振動、木々の揺れ、海の波等）の微動を調査。
調査結果：振動特性（卓越周期、増幅特性。）を求める。",
"・弾○○検層（PS検層）
調査内容：P波、S波の速度分布を調査。
調査結果：地盤の硬軟、ポアソン比、ヤング率等を求める",,"・弾性波速度検層（PS検層）
調査内容：P波、S波の速度分布を調査。
調査結果：地盤の硬軟、ポアソン比、ヤング率等を求める",
・地下水位計測,,・地下水位計測,
"・地下水位の測定（ボーリングによる）
無○○掘りによる水位、又は、清○○置換後の水位、を測定
※泥○○の水位は、地○○水位とは一致しない。",,"・地下水位の測定（ボーリングによる）
無水掘りによる水位、又は、清水置換後の水位、を測定
※泥水の水位は、地下水位とは一致しない。",
"・透水係数の測定
現○○試験（1本の観測井を用いる）
揚○○試験（揚水井と複数の観測井を用いる）
※透水係数：調べることで、ディープウェル工法・ウェルポイント工法等の設計などに利用する。",,"・透水係数の測定
現場透水試験（1本の観測井を用いる）
揚水試験（揚水井と複数の観測井を用いる）
※透水係数：調べることで、ディープウェル工法・ウェルポイント工法等の設計などに利用する。",
"・地盤の種類
洪○○層（こ○○そう）：○○時代の地層で、硬質な地盤
沖○○層（ち○○そう）：比較的○○時代の地層で、軟弱な地盤",,"・地盤の種類
洪積層（こうせきそう）：古い時代の地層で、硬質な地盤
沖積層（ちゅうせきそう）：比較的新しい時代の地層で、軟弱な地盤",
・地耐力試験の種類,,・地耐力試験の種類,
"・原位置試験
標準貫入試験：N値（せん断強さ）：ボーリング孔内：砂質土
オランダ式コーン貫入試験：せん断強さ：地表から深さ5-10m：粘性土
ベーン試験：せん断強さ：地表から深さ5-10m：軟弱な粘性土
スクリューウェイト貫入試験：せん断強さ：地表から深さ5-10m：粘性土
平板載荷試験：60cm程度。",,"・原位置試験
標準貫入試験：N値（せん断強さ）：ボーリング孔内：砂質土
オランダ式コーン貫入試験：せん断強さ：地表から深さ5-10m：粘性土
ベーン試験：せん断強さ：地表から深さ5-10m：軟弱な粘性土
スクリューウェイト貫入試験：せん断強さ：地表から深さ5-10m：粘性土
平板載荷試験：60cm程度。",
"・屋内試験
一軸/三軸圧縮試験：粘着力：制限なし：粘性土
圧密試験：圧密係数：制限なし：粘性土",,"・屋内試験
一軸/三軸圧縮試験：粘着力：制限なし：粘性土
圧密試験：圧密係数：制限なし：粘性土",
■土質試験,,■土質試験,
"・土質試験の種類
①粒○○試験：乱した土で行う。ふるいで粒○○分布（砂質土か粘土か）、粒径分布から透○○係数の概略値を推定できる。」
②液○○試験・塑○○試験（コンシステンシー試験）：土の水分量で示す性質を土のコンシステンシーと呼ぶ。
③圧○○試験：乱さない土。粘性土地盤の沈○○量と沈○○時間を推定する試験。
④一○○試験：乱さない土。 円柱供試体。せん断強さを測る。
⑤三○○試験：乱さない土。 円柱供試体。側面に水圧掛けるので、自然な状態でのせん断強さが測れる。一軸の強化版。サンプリング個体にひ○○などがあると一軸だと誤差がでるので、三軸で試験する。",,"・土質試験の種類
①粒度試験：乱した土で行う。ふるいで粒径分布（砂質土か粘土か）、粒径分布から透水係数の概略値を推定できる。」
②液性限界試験・塑性限界試験（コンシステンシー試験）：土の水分量で示す性質を土のコンシステンシーと呼ぶ。
③圧密試験：乱さない土。粘性土地盤の沈下量と沈下時間を推定する試験。
④一軸圧縮試験：乱さない土。 円柱供試体。せん断強さを測る。
⑤三軸圧縮試験：乱さない土。 円柱供試体。側面に水圧掛けるので、自然な状態でのせん断強さが測れる。一軸の強化版。サンプリング個体にひび割れなどがあると一軸だと誤差がでるので、三軸で試験する。",
【007仮設工事】,,【007仮設工事】,
■乗入れ構台、荷受け構台,,■乗入れ構台、荷受け構台,
"・乗入れ構台、荷受け構台の計画のポイント
構台支柱は、基礎・柱・梁などと重ならないように配置し、○○～○○m間隔
幅員は最小限1車線で○○m、2車線で○○m程度。
交差部には車両が曲がるための隅○○を設ける
乗り込みスロープ勾配は1/○○～1/○○程度。
大引き下端は、1FLより○○～○○mm程度上に設定。（コンクリート打設時に床均しができるように）
覆工板（ふっこうばん）厚さは○○mm程度",,"・乗入れ構台、荷受け構台の計画のポイント
構台支柱は、基礎・柱・梁などと重ならないように配置し、3-6m間隔
幅員は最小限1車線で4m、2車線で6m程度。
交差部には車両が曲がるための隅切りを設ける
乗り込みスロープ勾配は1/10-1/6程度。
大引き下端は、1FLより200-300mm程度上に設定。（コンクリート打設時に床均しができるように）
覆工板（ふっこうばん）厚さは200mm程度",
"・乗入れ構台、荷受け構台組み立て、解体時のポイント
垂○○、水○○の取り付けは、予定掘削深さまで完了した部分から○○に行う（掘削と共に、座屈長がながくなるため）",,"・乗入れ構台、荷受け構台の組み立て、解体時のポイント
垂直ブレース、水平つなぎの取り付けは、予定掘削深さまで完了した部分から速やかに行う（掘削と共に、座屈長がながくなるため）",
"■仮設通路と防護棚
防護棚（朝顔）の設置基準：1段目地上○○m以内、2段目以降下段から○○m以内
防護棚（朝顔）のはね出し材の突き出し長さ・角度：○○m以上、○○～○○度",,"■仮設通路と防護棚
防護棚（朝顔）の設置基準：1段目地上5m以内、2段目以降下段から10m以内
防護棚（朝顔）のはね出し材の突き出し長さ・角度：2m以上、20-30度",
"■足場
・足場の種類：単管足場、枠組足場、吊り足場
・単管足場の積載荷重上限：○○kg
・○○m以上の高さの作業床への落下防止策：○○cm以上の手すり＆中桟/下桟で人の落下防止、幅木/メッシュシートで物の落下防止
・高さ○○mを超える枠組足場：主枠高さ○○m以下、主枠間隔○○m
・枠組足場の水平材の設置位置：最上層および○○層以内毎",,"■足場
・足場の種類：単管足場、枠組足場、吊り足場
・鋼管足場の積載荷重上限：400kg
・2m以上の高さの作業床への落下防止策：85cm以上の手すり＆中桟/下桟で人の落下防止、幅木/メッシュシートで物の落下防止
・高さ20mを超える枠組足場：主枠高さ2m以下、主枠間隔1.85m
・枠組足場の水平材の設置位置：最上層および5層以内毎",
"■枠組足場
　W　建枠の間隔○○m以下
　D　建枠の幅　既製品○○m程度が多い
　H　建枠の高さ　既製品○○m程度が多い",,"■枠組足場
　W　建枠の間隔1.85m以下
　D　建枠の幅　既製品0.9m程度が多い
　H　建枠の高さ　既製品1.8m程度が多い",
"■単管足場
　W　建地のけた行方向の間隔○○m以下
　D　建地のはり間方向の間隔○○m以下
　H　規定なし",,"■単管足場
　W　建地のけた行方向の間隔1.85m以下
　D　建地のはり間方向の間隔1.5m以下
　H　規定なし",
"・壁つなぎ
枠組足場：水平○○m以内、垂直○○m以内
単管足場：水平○○m以内、垂直○○m以内",,"・壁つなぎ
枠組足場：水平8m以内、垂直9m以内
単管足場：水平5.5m以内、垂直5m以内",
"メッシュシートの取付け間隔
■足場への取付け間隔
　水平支持材を垂直方向○○m以下ごとに設け、
　メッシュシートを取り付ける。
■足場を設けない、鉄骨外周部への取付け間隔
　垂直支持材を水平方向○○m以下ごとに設け、
　メッシュシートを取り付ける。",,"メッシュシートの取付け間隔
■足場への取付け間隔
　水平支持材を垂直方向5.5m以下ごとに設け、
　メッシュシートを取り付ける。
■足場を設けない、鉄骨外周部への取付け間隔
　垂直支持材を水平方向4m以下ごとに設け、
　メッシュシートを取り付ける。",
"■メッシュシートは、原則として、足場に取り付けます。
足場への取付け間隔である「垂直方向○○m」の数値は、枠組足場の高さ約○○mの3層分（1.8m×3層＝5.4m）です。
■足場を設けない、鉄骨外周部への取付け間隔である「水平方向○○m」の数値は、鉄骨の1スパン約○○mの半分です。",,"■メッシュシートは、原則として、足場に取り付けます。
足場への取付け間隔である「垂直方向5.5m」の数値は、枠組足場の高さ約1.8mの3層分（1.8m×3層＝5.4m）です。
■足場を設けない、鉄骨外周部への取付け間隔である「水平方向4m」の数値は、鉄骨の1スパン約8mの半分です。",
"・吊り足場の安全係数：
吊りワイヤロープ：安全係数○○以上
クレーン等の玉掛用ワイヤロープ：安全係数○○以上
吊り鎖(チェーン)、吊りフック：安全係数○○以上",,"・吊り足場の安全係数：
吊りワイヤロープ：安全係数10以上
クレーン等の玉掛用ワイヤロープ：安全係数6以上
吊り鎖(チェーン)、吊りフック：安全係数5以上",
■足場・型枠支保工・工事用機械,,■足場・型枠支保工・工事用機械,
"・労働監督署長に届け出必要な条件
型枠支保工高さ：○○m以上
足場高さ：○○m以上
※組立～解体が○○日以内なら不要",,"・労働監督署長に届け出必要な条件
型枠支保工高さ：3.5m以上
足場高さ：10m以上
※組立～解体が60日以内なら不要",
"・作業主任者の選任が必要な条件
吊り足場
高さ○○m以上の足場の組立・解体",,"・作業主任者の選任が必要な条件
吊り足場
高さ5m以上の足場の組立・解体",
"・型枠支保工のパイプサポートの継げる本数：
○○本まで。（○○本以上のボルトで固定）",,"・型枠支保工のパイプサポートの継げる本数：
2本まで。（4本以上のボルトで固定）",
・クレーンで作業者を運搬：禁止,,・クレーンで作業者を運搬：禁止,
"・作業中止の強風の条件：
10分間の平均風速○○m/s以上",,"・作業中止の強風の条件：
10分間の平均風速10m/s以上",
"■クレーンの吊り上げ作業
風速○○m/s以上は中止",,"■クレーンの吊り上げ作業
風速10m/s以上は中止",
"■プレキャストコンクリート部材の組立て作業
風速○○m/s以上は中止",,"■プレキャストコンクリート部材の組立て作業
風速10m/s以上は中止",
"■ガスシールドアーク溶接作業
風速○○m/s以上は中止。ただし、適切な防風措置を講じれば可。",,"■ガスシールドアーク溶接作業
風速2m/s以上は中止。ただし、適切な防風措置を講じれば可。",
・建設用リフト等,,・建設用リフト等,
"■建設用リフト（資材運搬専用）
　人が乗ることはできない。",,"■建設用リフト（資材運搬専用）
　人が乗ることはできない。",
"■ゴンドラ（作業用吊り足場）
　人が乗る。",,"■ゴンドラ（作業用吊り足場）
　人が乗る。",
"■荷物用エレベーター
　荷物用だが、荷扱者又は運転者は乗れる。",,"■荷物用エレベーター
　荷物用だが、荷扱者又は運転者は乗れる。",
"■人荷用エレベーター
　一般乗客も普通に乗る。",,"■人荷用エレベーター
　一般乗客も普通に乗る。",
"・仮設の作業床
""■作業床の床材間の隙間
　・単管足場、枠組足場、作業構台の作業床・・・3㎝以下
　・吊り足場の作業床・・・・・・・・・・・・・隙間なし""
""■作業床の幅
　・単管足場、枠組足場、吊り足場ともに40㎝以上とする。""",,"・仮設の作業床
""■作業床の床材間の隙間
　・単管足場、枠組足場、作業構台の作業床・・・3㎝以下
　・吊り足場の作業床・・・・・・・・・・・・・隙間なし""
""■作業床の幅
　・単管足場、枠組足場、吊り足場ともに40㎝以上とする。""",
"作業床の幅、歩み板の幅
■足場の作業床の幅
　・40㎝以上（単管足場、枠組足場、吊り足場とも）
■スレート、木毛板で葺かれた屋根の歩み板の幅
　・30㎝以上
・仮設の手すりの高さ
仮設通路（切ばり上通路、鉄骨上通路）、足場の手すりの高さについては、
試験対策上、850mm以上だったら正、それ未満だったら誤と考えてよい。",,"作業床の幅、歩み板の幅
■足場の作業床の幅
　・40㎝以上（単管足場、枠組足場、吊り足場とも）
■スレート、木毛板で葺かれた屋根の歩み板の幅
　・30㎝以上
・仮設の手すりの高さ
仮設通路（切ばり上通路、鉄骨上通路）、足場の手すりの高さについては、
試験対策上、850mm以上だったら正、それ未満だったら誤と考えてよい。",
枠組足場の墜落防止措置・落下防止措置,,枠組足場の墜落防止措置・落下防止措置,
"■人の墜落防止措置
　①交差筋かい＋高さ○○㎝以上○○㎝以下の位置に下桟　or
　②交差筋かい＋高さ○○㎝以上の幅木　or",,"■人の墜落防止措置
　①交差筋かい＋高さ15㎝以上40㎝以下の位置に下桟　or
　②交差筋かい＋高さ15㎝以上の幅木　or",
"■物の落下防止措置
　①高さ○○㎝以上の幅木　or
　②メッシュシート・防網等
　③手すり枠
特に次の2点が重要です。
①幅木について、墜落防止措置は高さ○○㎝以上、落下防止措置は高さ○○㎝以上。
　もちろん、墜落防止措置として高さ○○㎝以上の幅木を設ければ、落下防止措置にもなります。
②メッシュシート・防網は、落下防止措置であって、墜落防止措置にはならない。",,"■物の落下防止措置
　①高さ10㎝以上の幅木　or
　②メッシュシート・防網等
　③手すり枠
特に次の2点が重要です。
①幅木について、墜落防止措置は高さ15㎝以上、落下防止措置は高さ10㎝以上。
　もちろん、墜落防止措置として高さ15㎝以上の幅木を設ければ、落下防止措置にもなります。
②メッシュシート・防網は、落下防止措置であって、墜落防止措置にはならない。",
"■クレーンや吊り荷等と電線の離隔距離
配電線
○○V以下：○○m以上
○○V以下：○○m以上
※労働基準局通達最小離隔距離。
※建築工事監理指針に記載されているらしい。",,"■クレーンや吊り荷等と電線の離隔距離
配電線
200V以下：1.0m以上
6600V以下：1.2m以上
※労働基準局通達最小離隔距離。
※建築工事監理指針に記載されているらしい。",
【008】土工事・山留め,,【008】土工事・山留め,
■山留め,,■山留め,
